Time,Winner,Loser,Result
2025-12-31 13:06:38,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:06:46,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:07:00,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:13:06,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:13:10,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:14:00,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:14:09,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:14:46,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:14:54,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:15:19,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:15:30,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:16:03,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:16:21,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:16:40,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:17:02,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:17:25,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:19:16,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:19:52,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:20:06,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:20:28,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:20:36,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:21:08,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:21:25,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:21:41,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:21:53,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:22:21,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:22:29,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:22:55,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:33:53,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:34:01,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:34:10,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:34:31,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:34:32,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:34:46,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:34:57,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:35:37,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:36:06,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:36:10,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:36:23,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:36:40,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:36:44,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:37:03,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:37:09,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:37:30,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:37:39,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:37:51,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:38:06,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:38:07,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:38:23,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:38:48,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:38:50,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:39:22,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:39:24,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:42:03,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:42:29,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:42:50,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:43:51,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:44:19,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:44:39,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:45:17,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:45:44,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:46:31,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:46:59,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:47:07,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:48:15,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:48:19,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:49:04,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:49:18,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:49:24,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:49:45,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:49:50,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:49:56,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:50:36,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:50:37,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:50:57,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:51:21,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:51:38,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:52:02,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:52:24,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:52:32,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:52:49,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:53:12,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:53:18,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:53:44,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:53:49,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:54:37,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:54:42,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:55:01,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:55:25,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:55:34,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:55:48,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:56:10,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:56:25,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:56:28,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:56:47,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:57:03,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:57:20,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
